,unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
2358,1442361600,2015-09-16,BTC/USD,229.3,230.0,223.0,227.85,3425654.89,15080.6
2357,1442448000,2015-09-17,BTC/USD,227.85,235.0,227.0,232.44,3367136.42,14590.39
2356,1442534400,2015-09-18,BTC/USD,232.44,234.4,230.83,232.82,4504783.52,19329.16
2355,1442620800,2015-09-19,BTC/USD,232.82,233.76,229.98,230.23,2603719.84,11239.65
2354,1442707200,2015-09-20,BTC/USD,230.23,231.7,229.01,230.29,3032926.37,13163.49
2353,1442793600,2015-09-21,BTC/USD,230.29,230.34,225.0,225.93,3174904.24,13979.61
2352,1442880000,2015-09-22,BTC/USD,226.15,231.96,223.12,229.59,4313428.34,18901.15
2351,1442966400,2015-09-23,BTC/USD,230.08,231.5,228.0,229.41,3115694.32,13541.0
2350,1443052800,2015-09-24,BTC/USD,229.42,235.52,228.89,233.19,5551743.34,23959.71
2349,1443139200,2015-09-25,BTC/USD,233.88,237.25,232.56,235.13,5285210.99,22472.07
2348,1443225600,2015-09-26,BTC/USD,235.14,235.67,233.0,233.89,3523048.07,15034.03
2347,1443312000,2015-09-27,BTC/USD,233.81,234.61,231.16,231.91,4019534.29,17283.89
2346,1443398400,2015-09-28,BTC/USD,232.4,239.68,231.69,239.0,4157771.7,17516.84
2345,1443484800,2015-09-29,BTC/USD,239.14,240.56,235.09,236.71,4647432.49,19556.79
2344,1443571200,2015-09-30,BTC/USD,236.78,238.27,234.67,236.65,4868955.65,20602.4
2343,1443657600,2015-10-01,BTC/USD,236.19,239.44,235.01,237.52,4755143.56,20053.8
2342,1443744000,2015-10-02,BTC/USD,237.15,239.06,235.0,237.69,4011577.62,16889.46
2341,1443830400,2015-10-03,BTC/USD,237.77,239.86,236.3,238.77,4243470.37,17807.25
2340,1443916800,2015-10-04,BTC/USD,239.06,239.98,237.62,238.4,3568930.36,14937.72
2339,1444003200,2015-10-05,BTC/USD,238.6,240.57,236.1,240.53,4783286.22,20080.15
2338,1444089600,2015-10-06,BTC/USD,240.85,248.19,239.52,246.93,6479338.48,26660.11
2337,1444176000,2015-10-07,BTC/USD,246.79,247.65,242.3,243.47,5814066.37,23728.8
2336,1444262400,2015-10-08,BTC/USD,243.47,244.76,242.06,243.41,3359588.79,13785.97
2335,1444348800,2015-10-09,BTC/USD,243.29,244.95,242.16,244.49,3428059.53,14078.43
2334,1444435200,2015-10-10,BTC/USD,244.49,246.43,243.0,245.72,4231167.2,17279.47
2333,1444521600,2015-10-11,BTC/USD,245.71,248.5,244.53,247.83,4682787.16,18945.03
2332,1444608000,2015-10-12,BTC/USD,248.05,248.47,245.01,245.48,2593320.33,10507.17
2331,1444694400,2015-10-13,BTC/USD,245.81,250.89,242.82,248.69,6351641.49,25785.95
2330,1444780800,2015-10-14,BTC/USD,249.97,255.93,248.06,252.46,6737959.74,26881.16
2329,1444867200,2015-10-15,BTC/USD,252.47,256.5,250.3,254.44,5578740.83,21895.64
2328,1444953600,2015-10-16,BTC/USD,254.49,267.0,253.69,262.5,8783403.13,33657.67
2327,1445040000,2015-10-17,BTC/USD,263.09,273.0,260.8,268.99,6740958.58,25102.03
2326,1445126400,2015-10-18,BTC/USD,270.04,271.17,260.0,261.0,2553365.04,9651.58
2325,1445212800,2015-10-19,BTC/USD,260.99,266.01,259.82,264.43,4289133.96,16353.66
2324,1445299200,2015-10-20,BTC/USD,264.28,272.95,262.67,270.23,7638164.61,28660.58
2323,1445385600,2015-10-21,BTC/USD,270.3,272.69,264.0,267.8,5450048.68,20286.19
2322,1445472000,2015-10-22,BTC/USD,267.9,280.04,267.39,275.3,7665954.22,28004.6
2321,1445558400,2015-10-23,BTC/USD,275.12,280.19,273.46,277.71,5944078.44,21426.74
2320,1445644800,2015-10-24,BTC/USD,278.6,283.0,278.22,282.59,5618365.29,20060.55
2319,1445731200,2015-10-25,BTC/USD,283.03,296.0,282.2,288.27,8315290.02,28720.71
2318,1445817600,2015-10-26,BTC/USD,283.96,286.99,279.25,285.82,5898921.94,20790.45
2317,1445904000,2015-10-27,BTC/USD,286.9,300.0,286.15,295.17,9867602.57,33675.21
2316,1445990400,2015-10-28,BTC/USD,295.59,308.48,294.4,304.05,9258154.13,30679.48
2315,1446076800,2015-10-29,BTC/USD,304.77,319.6,301.7,313.73,9831879.91,31657.38
2314,1446163200,2015-10-30,BTC/USD,314.95,334.05,313.5,328.78,12367475.77,38136.6
2313,1446249600,2015-10-31,BTC/USD,328.15,334.67,302.99,310.06,9115142.28,28649.04
2312,1446336000,2015-11-01,BTC/USD,309.3,329.85,303.01,328.98,4435611.06,14020.62
2311,1446422400,2015-11-02,BTC/USD,325.78,369.02,320.0,361.98,15340060.07,44128.12
2310,1446508800,2015-11-03,BTC/USD,361.73,420.77,360.4,398.21,29231893.79,75165.25
2309,1446595200,2015-11-04,BTC/USD,404.55,502.0,368.11,404.3,45952886.39,102836.94
2308,1446681600,2015-11-05,BTC/USD,407.99,448.79,364.37,383.22,23867619.71,59345.77
2307,1446768000,2015-11-06,BTC/USD,387.77,396.67,353.26,371.79,17456826.57,46753.83
2306,1446854400,2015-11-07,BTC/USD,374.41,392.82,371.07,385.76,10058975.27,26232.37
2305,1446940800,2015-11-08,BTC/USD,384.62,390.47,366.18,371.87,10355751.72,27164.76
2304,1447027200,2015-11-09,BTC/USD,372.86,386.79,360.54,379.88,9477408.94,25175.75
2303,1447113600,2015-11-10,BTC/USD,378.32,381.44,323.63,337.69,17008397.14,47566.89
2302,1447200000,2015-11-11,BTC/USD,336.66,341.41,294.0,303.0,15939271.77,50855.93
2301,1447286400,2015-11-12,BTC/USD,309.9,344.78,308.42,334.94,11886431.63,36439.1
2300,1447372800,2015-11-13,BTC/USD,337.17,342.0,325.0,333.51,8106822.27,24269.32
2299,1447459200,2015-11-14,BTC/USD,336.28,356.1,325.45,331.61,8462312.91,25224.62
2298,1447545600,2015-11-15,BTC/USD,333.02,334.99,314.6,317.0,8768484.87,27063.93
2297,1447632000,2015-11-16,BTC/USD,319.3,332.2,315.0,330.9,6507645.44,20088.97
2296,1447718400,2015-11-17,BTC/USD,330.95,350.44,329.0,335.44,9214462.2,27389.82
2295,1447804800,2015-11-18,BTC/USD,336.0,337.89,330.28,337.06,8987857.94,26870.04
2294,1447891200,2015-11-19,BTC/USD,334.53,336.48,324.94,324.95,8856879.85,26672.92
2293,1447977600,2015-11-20,BTC/USD,326.51,327.73,310.0,321.5,6717727.46,21066.59
2292,1448064000,2015-11-21,BTC/USD,322.05,328.94,318.52,324.99,1599948.43,4924.8
2291,1448150400,2015-11-22,BTC/USD,326.5,326.6,320.13,323.11,1267230.48,3922.9
2290,1448236800,2015-11-23,BTC/USD,324.24,326.09,320.39,323.01,1616552.53,4998.52
2289,1448323200,2015-11-24,BTC/USD,323.48,323.5,317.0,318.42,2728746.78,8504.75
2288,1448409600,2015-11-25,BTC/USD,319.7,330.84,316.0,328.3,3953649.86,12219.77
2287,1448496000,2015-11-26,BTC/USD,328.9,369.7,328.53,356.39,12422273.47,35559.27
2286,1448582400,2015-11-27,BTC/USD,353.9,364.8,347.84,359.87,4695664.08,13114.65
2285,1448668800,2015-11-28,BTC/USD,357.14,359.44,350.41,356.39,2208751.82,6228.08
2284,1448755200,2015-11-29,BTC/USD,356.78,373.15,354.45,371.04,2798580.83,7667.1
2283,1448841600,2015-11-30,BTC/USD,371.48,383.0,367.11,377.98,6688039.27,17776.96
2282,1448928000,2015-12-01,BTC/USD,376.7,379.0,354.56,362.95,5610058.11,15389.67
2281,1449014400,2015-12-02,BTC/USD,363.06,363.06,348.64,359.97,4282488.25,12043.46
2280,1449100800,2015-12-03,BTC/USD,359.11,370.53,356.21,361.32,4394915.48,12110.5
2279,1449187200,2015-12-04,BTC/USD,361.48,364.3,355.92,362.3,3573289.38,9924.22
2278,1449273600,2015-12-05,BTC/USD,363.62,389.89,363.0,384.67,6173704.59,16356.43
2277,1449360000,2015-12-06,BTC/USD,388.0,399.85,383.0,394.6,5570564.08,14206.16
2276,1449446400,2015-12-07,BTC/USD,387.18,399.91,381.01,395.1,5800694.75,14778.37
2275,1449532800,2015-12-08,BTC/USD,394.96,409.0,388.33,409.0,3825649.71,9656.3
2274,1449619200,2015-12-09,BTC/USD,418.8,424.95,400.0,416.08,8641355.07,20835.19
2273,1449705600,2015-12-10,BTC/USD,416.98,419.79,408.91,416.28,3448586.43,8304.87
2272,1449792000,2015-12-11,BTC/USD,415.36,454.36,415.13,451.68,12399633.04,28322.47
2271,1449878400,2015-12-12,BTC/USD,452.99,467.8,403.0,435.87,12814616.39,29628.96
2270,1449964800,2015-12-13,BTC/USD,436.08,442.97,422.03,435.8,4885667.86,11227.18
2269,1450051200,2015-12-14,BTC/USD,432.89,448.12,428.42,442.37,5806064.93,13155.98
2268,1450137600,2015-12-15,BTC/USD,443.36,464.99,442.94,463.61,8006856.52,17598.64
2267,1450224000,2015-12-16,BTC/USD,464.5,465.0,436.89,455.1,10597761.52,23311.2
2266,1450310400,2015-12-17,BTC/USD,455.63,458.84,448.75,456.01,2979011.75,6551.59
2265,1450396800,2015-12-18,BTC/USD,455.87,466.64,453.5,463.0,5902097.11,12837.8
2264,1450483200,2015-12-19,BTC/USD,462.99,465.9,452.03,460.96,3097007.27,6710.68
2263,1450569600,2015-12-20,BTC/USD,461.8,462.0,433.83,441.48,7399332.35,16556.94
2262,1450656000,2015-12-21,BTC/USD,442.54,450.0,425.52,437.56,8188958.32,18774.32
2261,1450742400,2015-12-22,BTC/USD,438.07,443.58,433.06,436.15,3490906.28,7980.12
2260,1450828800,2015-12-23,BTC/USD,435.18,445.52,434.43,443.34,3048303.13,6926.87
2259,1450915200,2015-12-24,BTC/USD,442.5,459.54,442.5,455.71,4589002.87,10117.43
2258,1451001600,2015-12-25,BTC/USD,455.42,458.33,448.0,455.5,1299892.21,2866.07
2257,1451088000,2015-12-26,BTC/USD,455.51,457.45,407.25,417.42,11276027.93,26407.73
2256,1451174400,2015-12-27,BTC/USD,417.11,425.42,410.5,423.29,2864576.24,6833.96
2255,1451260800,2015-12-28,BTC/USD,421.57,429.86,417.01,420.7,3151306.04,7435.09
2254,1451347200,2015-12-29,BTC/USD,420.81,433.17,418.55,430.04,4321235.8,10134.54
2253,1451433600,2015-12-30,BTC/USD,431.7,434.97,420.75,427.05,3281609.6,7637.42
2252,1451520000,2015-12-31,BTC/USD,426.09,433.89,419.99,430.57,2811931.1,6585.13
2251,1451606400,2016-01-01,BTC/USD,430.89,436.0,427.2,434.98,1617803.31,3735.62
2250,1451692800,2016-01-02,BTC/USD,434.87,435.99,430.42,433.74,1260194.29,2908.35
2249,1451779200,2016-01-03,BTC/USD,433.2,434.09,424.06,430.85,1930486.92,4504.52
2248,1451865600,2016-01-04,BTC/USD,430.79,435.86,428.44,433.97,2467176.88,5700.13
2247,1451952000,2016-01-05,BTC/USD,434.17,435.39,429.5,431.89,1668756.45,3862.38
2246,1452038400,2016-01-06,BTC/USD,432.45,432.67,426.54,431.84,2291148.77,5326.67
2245,1452124800,2016-01-07,BTC/USD,429.99,457.79,429.25,457.79,7127390.53,15940.74
2244,1452211200,2016-01-08,BTC/USD,457.0,465.0,444.51,451.32,4654917.52,10258.75
2243,1452297600,2016-01-09,BTC/USD,452.02,454.0,446.68,449.95,1947311.14,4330.04
2242,1452384000,2016-01-10,BTC/USD,448.84,449.89,440.8,447.21,1772542.11,3987.37
2241,1452470400,2016-01-11,BTC/USD,448.79,451.13,438.0,448.99,3519698.03,7902.84
2240,1452556800,2016-01-12,BTC/USD,448.0,448.0,442.88,446.27,1826314.47,4096.26
2239,1452643200,2016-01-13,BTC/USD,434.89,438.35,424.5,432.53,4297337.64,9997.31
2238,1452729600,2016-01-14,BTC/USD,432.64,434.0,427.0,429.22,1889729.91,4388.51
2237,1452816000,2016-01-15,BTC/USD,429.55,429.8,365.0,372.85,13985318.0,35218.44
2236,1452902400,2016-01-16,BTC/USD,360.0,387.5,352.0,386.43,8790996.62,23675.75
2235,1452988800,2016-01-17,BTC/USD,387.28,391.14,376.0,382.85,3050025.47,7962.09
2234,1453075200,2016-01-18,BTC/USD,380.16,388.5,373.63,385.0,2662265.2,6968.7
2233,1453161600,2016-01-19,BTC/USD,385.47,386.92,375.59,379.88,2619071.74,6854.8
2232,1453248000,2016-01-20,BTC/USD,376.77,422.98,372.53,410.93,9829484.37,24594.14
2231,1453334400,2016-01-21,BTC/USD,418.9,421.25,404.59,410.03,3840395.14,9301.69
2230,1453420800,2016-01-22,BTC/USD,409.42,410.07,374.45,381.78,5581017.46,14308.54
2229,1453507200,2016-01-23,BTC/USD,382.85,395.0,381.05,386.92,2725952.77,7020.14
2228,1453593600,2016-01-24,BTC/USD,386.37,405.97,385.36,402.5,2139150.54,5356.26
2227,1453680000,2016-01-25,BTC/USD,402.16,402.31,385.5,392.58,3131070.89,7943.7
2226,1453766400,2016-01-26,BTC/USD,390.1,397.7,386.2,390.66,2497097.16,6361.63
2225,1453852800,2016-01-27,BTC/USD,391.77,397.0,390.31,395.0,1669789.13,4234.46
2224,1453939200,2016-01-28,BTC/USD,394.62,395.56,376.0,379.16,4329530.76,11329.82
2223,1454025600,2016-01-29,BTC/USD,379.55,383.99,363.73,379.44,5067927.64,13500.22
2222,1454112000,2016-01-30,BTC/USD,378.12,380.42,372.95,376.6,887062.39,2351.12
2221,1454198400,2016-01-31,BTC/USD,376.38,379.3,367.77,370.0,1407869.8,3752.13
